habitat,site,species,number_23,number_24
T,1,Toff,6,0
T,1,Pmaj,0,0
T,1,Lvul,0,0
T,1,Toff,0,0
T,1,Pmaj,1,0
T,1,Lvul,0,0
T,2,Toff,0,0
T,2,Pmaj,1,0
T,2,Lvul,1,0
T,2,Toff,17,0
T,2,Pmaj,0,0
T,2,Lvul,0,0
T,3,Toff,40,0
T,3,Pmaj,0,0
T,3,Lvul,0,0
T,3,Toff,7,0
T,3,Pmaj,0,0
T,3,Lvul,0,0
T,4,Toff,0,0
T,4,Pmaj,0,0
T,4,Lvul,0,0
T,4,Toff,0,0
T,4,Pmaj,0,0
T,4,Lvul,0,0
B,5,Toff,47,0
B,5,Pmaj,0,0
B,5,Lvul,0,0
B,5,Toff,80,0
B,5,Pmaj,1,0
B,5,Lvul,0,0
B,6,Toff,46,0
B,6,Pmaj,1,0
B,6,Lvul,3,0
B,6,Toff,56,0
B,6,Pmaj,0,0
B,6,Lvul,0,0
B,7,Toff,36,0
B,7,Pmaj,0,0
B,7,Lvul,0,0
B,7,Toff,0,0
B,7,Pmaj,0,0
B,7,Lvul,0,0
B,8,Toff,9,0
B,8,Pmaj,0,0
B,8,Lvul,0,0
B,8,Toff,0,0
B,8,Pmaj,0,0
B,8,Lvul,0,0