plot,treatment,orientation,Cbp23,Lvul23,Pmaj23,Toff23,Salb23,Tarv23,notes23,Cbp24,Lvul24,Pmaj24,Toff24,Salb24,Tarv24,notes24
1,warming,SLTR,0,0,4,23,2,0,3 of an unknown - took 1 sample,0,0,0,0,0,0,
2,control,SLTR,0,0,0,2,21,0,,0,0,0,0,0,0,
3,control,SRTL,0,0,0,1,0,0,,0,0,0,0,0,0,
4,control,SLTR,0,0,0,3,0,0,,0,0,0,0,0,0,
5,warming,SRTL,0,0,0,8,0,0,,0,0,0,0,0,0,
6,warming,SLTR,0,0,0,0,0,0,,0,0,0,0,0,0,
7,warming,SRTL,0,0,0,12,0,0,,0,0,0,0,0,0,
8,control,SRTL,0,1,1,23,3,0,,0,0,0,0,0,0,
9,warming,SLTR,0,0,0,16,8,0,,0,0,0,0,0,0,
10,warming,SRTL,0,0,3,21,1,0,,0,0,0,0,1,0,
11,control,SLTR,0,0,0,3,1,0,,0,0,0,0,0,0,
12,control,SRTL,0,0,0,25,0,0,,0,0,0,0,0,0,
13,warming,SLTR,0,0,0,2,0,0,,0,0,0,0,0,0,
14,warming,SRTL,0,2,0,46,0,0,,0,0,0,0,0,0,
15,control,SLTR,0,0,0,0,0,0,,0,0,0,0,0,0,
16,control,SRTL,0,0,0,5,0,0,,0,0,0,0,0,0,
17,control,SLTR,0,0,0,2,0,0,,0,0,0,0,0,0,
18,warming,SLTR,0,1,2,6,1,0,,0,0,0,0,0,0,
19,control,SRTL,0,0,0,0,0,0,,0,0,0,0,0,0,
20,warming,SRTL,0,1,0,28,1,0,,0,0,1,0,0,0,
21,control,SLTR,0,0,0,0,0,0,,0,0,0,0,0,0,
22,warming,SLTR,0,0,0,32,0,0,,0,0,0,0,0,0,
23,control,SRTL,0,0,0,10,0,0,,0,0,0,0,0,0,
24,warming,SRTL,0,0,2,55,2,0,,0,0,0,0,0,0,
25,warming,SLTR,0,0,0,5,1,0,,0,0,1,0,0,0,
26,control,SRTL,0,0,0,20,2,0,,0,0,0,0,0,0,
27,warming,SLTR,0,0,0,0,14,0,,0,0,0,0,0,0,
28,control,SRTL,0,0,0,0,0,0,,0,0,0,0,0,0,
29,control,SLTR,0,0,0,4,2,0,,0,0,0,0,0,0,
30,warming,SLTR,0,0,2,70,0,0,,0,0,0,0,0,0,
31,warming,SRTL,0,0,0,64,0,0,,0,0,0,0,0,0,
32,warming,SLTR,0,0,0,34,2,0,,0,0,0,1,0,0,
33,control,SRTL,0,0,1,10,0,0,,0,0,0,0,0,0,
34,warming,SRTL,0,0,0,27,2,0,,0,0,0,0,0,0,
35,control,SLTR,0,0,0,0,0,0,,0,0,0,0,0,0,
36,warming,SLTR,0,0,0,30,1,0,,0,0,0,0,0,0,
37,control,SRTL,0,0,0,11,0,0,,0,0,0,0,0,0,
38,warming,SRTL,0,0,0,36,1,0,,0,0,0,0,0,0,
39,control,SLTR,0,0,0,18,0,0,,0,0,0,0,0,0,
40,control,SRTL,0,0,0,29,0,0,,0,0,0,0,0,0,